iter	Logloss
0	0.6215784264
1	0.566659914
2	0.5257658693
3	0.4959048712
4	0.4705213927
5	0.4528268344
6	0.4374272001
7	0.424533102
8	0.4149051737
9	0.4058897673
10	0.3994403102
11	0.3928565096
12	0.3873542396
13	0.3826195988
14	0.3786599874
15	0.3737802753
16	0.370661523
17	0.367345598
18	0.3648860941
19	0.3625761934
20	0.3606081163
21	0.3589336009
22	0.3568904591
23	0.3556138022
24	0.3542277153
25	0.3528603373
26	0.3516262961
27	0.3501156615
28	0.3488118019
29	0.3478468566
30	0.3466655283
31	0.3457052657
32	0.3447688627
33	0.3437691882
34	0.3429900777
35	0.342581184
36	0.3419447082
37	0.3414236475
38	0.340655002
39	0.340057831
40	0.3393701438
41	0.3387547099
42	0.3382464067
43	0.3380150419
44	0.3373453709
45	0.3370779908
46	0.3365948951
47	0.336128191
48	0.3355266029
49	0.3354467333
50	0.3348851348
51	0.334362282
52	0.3339342694
53	0.3338582804
54	0.3336015901
55	0.3331416493
56	0.3328943812
57	0.3324324603
58	0.3320872169
59	0.3318128756
60	0.3313040058
61	0.3309371249
62	0.3308064511
63	0.3305527092
64	0.3302280301
65	0.3299498977
66	0.3297702064
67	0.3293012205
68	0.3291982498
69	0.3288955634
70	0.3286066245
71	0.3284838193
72	0.3281705397
73	0.3278745565
74	0.3275485515
75	0.3275365682
76	0.327256479
77	0.3271700744
78	0.327010187
79	0.3267415495
80	0.326542455
81	0.3261078698
82	0.3257951077
83	0.3256181993
84	0.3252964961
85	0.3251681461
86	0.3249582207
87	0.3246984259
88	0.3244720832
89	0.3244525014
90	0.3242966149
91	0.3240955039
92	0.3239210919
93	0.3239052638
94	0.3236587814
95	0.3235129251
96	0.3233570284
97	0.3232407827
98	0.3230257922
99	0.322826381
100	0.3227413318
101	0.3223958169
102	0.3221516401
103	0.3218598406
104	0.3218201553
105	0.321187396
106	0.3210283765
107	0.3208854904
108	0.3207938447
109	0.320649448
110	0.3200734984
111	0.3197589349
112	0.3197507482
113	0.3194827785
114	0.3191706034
115	0.3189620357
116	0.3187141475
117	0.3182325458
118	0.318027173
119	0.3172793531
120	0.3169205529
121	0.3165349296
122	0.3162715081
123	0.316085553
124	0.3158829274
125	0.3153993553
126	0.3152876536
127	0.3149715692
128	0.3147238671
129	0.3144850346
130	0.3143338146
131	0.3141869366
132	0.313915322
133	0.3132384879
134	0.3130318478
135	0.3128182435
136	0.312586656
137	0.3123562155
138	0.3121441698
139	0.3117647594
140	0.3112933252
141	0.3111706701
142	0.31097283
143	0.3108818195
144	0.3108003332
145	0.31049079
146	0.3100977757
147	0.3100757849
148	0.3098026051
149	0.3096137321
150	0.3094938484
151	0.3093580681
152	0.3091415178
153	0.3089900329
154	0.3087452542
155	0.3086415637
156	0.3083947103
157	0.3081571086
158	0.3079936131
159	0.3078793722
160	0.3076092254
161	0.3072888796
162	0.3071514914
163	0.3069174021
164	0.3066711158
165	0.3064779251
166	0.3064488236
167	0.3060791069
168	0.3058909716
169	0.3057478679
170	0.3055437649
171	0.3053398747
172	0.3052442449
173	0.3050189431
174	0.3049225127
175	0.3047794719
176	0.3046052989
177	0.3045233778
178	0.3042662
179	0.3041106674
180	0.3039851785
181	0.3038911782
182	0.3035796949
183	0.3035044193
184	0.3033293547
185	0.3031707113
186	0.3030462155
187	0.3029237561
188	0.3028428813
189	0.3024712796
190	0.3022979394
191	0.3020771916
192	0.3018974388
193	0.3017000851
194	0.3015439303
195	0.3013750667
196	0.3012066604
197	0.3010820477
198	0.3008916839
199	0.3007553949
200	0.3007329796
201	0.3006251502
202	0.3004951299
203	0.3004541013
204	0.300347997
205	0.3001661496
206	0.2999425553
207	0.2998728855
208	0.2997051947
209	0.2995765821
210	0.2994081955
211	0.2989390772
212	0.2988017711
213	0.2986573902
214	0.2985691459
215	0.2983955289
216	0.298269248
217	0.2981649818
218	0.2981229506
219	0.2979214781
220	0.2977953294
221	0.2976074652
222	0.2974148844
223	0.2971549765
224	0.29710157
225	0.2969578115
226	0.2968474915
227	0.2967222735
228	0.2966090457
229	0.296448448
230	0.2963312974
231	0.2962489298
232	0.2960543564
233	0.2958744861
234	0.2956601239
235	0.2953808016
236	0.2952152232
237	0.2950568304
238	0.2949376794
239	0.2947290903
240	0.2944487009
241	0.2943009946
242	0.2942087754
243	0.2941198318
244	0.2940568275
245	0.2938753356
246	0.2937292231
247	0.2935765621
248	0.293373586
249	0.2932763062
250	0.2931273776
251	0.292937916
252	0.2928379751
253	0.2927880261
254	0.2927341362
255	0.2926542411
256	0.2925226029
257	0.2923670335
258	0.2922811367
259	0.2921921439
260	0.2920131438
261	0.2919381435
262	0.2918404896
263	0.2917330937
264	0.2916026797
265	0.2915403406
266	0.2914771371
267	0.2913292942
268	0.291259152
269	0.2911274232
270	0.2910684726
271	0.2909898296
272	0.2909389993
273	0.2909342731
274	0.2908918914
275	0.2908368196
276	0.2906544271
277	0.2905640039
278	0.2905276323
279	0.2902740506
280	0.2902401899
281	0.2899920731
282	0.2898191822
283	0.289638096
284	0.289411634
285	0.2893597401
286	0.2891291989
287	0.2889946566
288	0.2888518864
289	0.2886715762
290	0.2886674023
291	0.2885304438
292	0.2883293249
293	0.2881920627
294	0.2881884145
295	0.2880548813
296	0.2879332905
297	0.2877844822
298	0.2875946176
299	0.287422748
300	0.2872547852
301	0.2871180769
302	0.287088446
303	0.2869627052
304	0.2868785048
305	0.2865993187
306	0.2864576129
307	0.2864308556
308	0.2863374401
309	0.2862402823
310	0.2861817085
311	0.2861388717
312	0.2860484209
313	0.2858957332
314	0.2857749402
315	0.2856947583
316	0.2855333704
317	0.2853229458
318	0.2852916088
319	0.2851301728
320	0.2850332535
321	0.2850010747
322	0.2849218342
323	0.2848003162
324	0.2846935261
325	0.284512154
326	0.2843985987
327	0.2842527082
328	0.2841409698
329	0.28404238
330	0.283941211
331	0.283863113
332	0.2837034841
333	0.2836382848
334	0.2836350655
335	0.2836335099
336	0.2834605206
337	0.2833727396
338	0.283298178
339	0.2831185987
340	0.2830511071
341	0.2828611405
342	0.2827496573
343	0.2825372477
344	0.2824832346
345	0.2824143939
346	0.2822846601
347	0.2821724036
348	0.282144089
349	0.2821071184
350	0.2819347734
351	0.2818239323
352	0.2816832758
353	0.2816405069
354	0.2815923454
355	0.2814781317
356	0.2813127625
357	0.2811292238
358	0.281018117
359	0.2808851531
360	0.280802051
361	0.28069495
362	0.2805484601
363	0.2803763611
364	0.2803167258
365	0.2802660101
366	0.2801655694
367	0.2800680933
368	0.2799588753
369	0.279915493
370	0.2798400363
371	0.2797820714
372	0.2797257654
373	0.2795342213
374	0.2794063654
375	0.2793705605
376	0.2792918773
377	0.2791637387
378	0.2790549631
379	0.2789314912
380	0.2787849945
381	0.278687843
382	0.2786195355
383	0.2785033649
384	0.2783937879
385	0.2782517494
386	0.2782202398
387	0.2781551578
388	0.2780494031
389	0.2779169375
390	0.2778121781
391	0.277664099
392	0.2775766769
393	0.2775314906
394	0.2774583641
395	0.2772417487
396	0.277203811
397	0.2770335843
398	0.277008044
399	0.2769424408
400	0.2768272347
401	0.2767560363
402	0.2766367411
403	0.2765328808
404	0.2764861324
405	0.2764117945
406	0.2762573791
407	0.276200967
408	0.2759960899
409	0.2759289041
410	0.2758485634
411	0.275801589
412	0.2757223519
413	0.2755658036
414	0.2755148221
415	0.2754897722
416	0.2754423311
417	0.2754199003
418	0.2753457917
419	0.2752814372
420	0.2751392846
421	0.2750601289
422	0.2750237542
423	0.2748890146
424	0.2748024747
425	0.2747359025
426	0.2746653182
427	0.2745996932
428	0.2744722209
429	0.2744062207
430	0.2742679358
431	0.274202589
432	0.2741448998
433	0.2741214448
434	0.274097562
435	0.2739948974
436	0.2738727503
437	0.2738119106
438	0.2737124176
439	0.27355217
440	0.2734887732
441	0.2734100341
442	0.2732939155
443	0.2731663212
444	0.2730358245
445	0.2728218394
446	0.2727286357
447	0.2726209315
448	0.2725282877
449	0.2723999598
450	0.272383494
451	0.2722920973
452	0.2721630258
453	0.2720538679
454	0.2719425252
455	0.2718752746
456	0.2718464544
457	0.2717565638
458	0.2716704714
459	0.2715496295
460	0.2715069735
461	0.271343732
462	0.271330071
463	0.2712892869
464	0.2712535667
465	0.2710972617
466	0.2710179811
467	0.2709431808
468	0.2708464407
469	0.2707942147
470	0.2707339972
471	0.2707270699
472	0.2706998592
473	0.2705111184
474	0.2704374447
475	0.2703773285
476	0.2702501151
477	0.2701319985
478	0.2700620615
479	0.2700027538
480	0.2699069643
481	0.2698321822
482	0.2697431839
483	0.269593442
484	0.2695279761
485	0.269397024
486	0.2692800101
487	0.2691807598
488	0.2691724913
489	0.2690438924
490	0.2688987505
491	0.2688027968
492	0.2687705965
493	0.2687350357
494	0.2686595308
495	0.2686338441
496	0.2685280312
497	0.2685225381
498	0.2684535228
499	0.2683970142
