iter	Passed	Remaining
0	153	76744
1	239	59556
2	325	53990
3	397	49232
4	468	46415
5	555	45715
6	629	44357
7	708	43551
8	797	43500
9	875	42911
10	953	42401
11	1036	42138
12	1118	41905
13	1311	45530
14	1419	45890
15	1503	45472
16	1594	45315
17	1679	44981
18	1760	44563
19	1830	43936
20	1908	43527
21	1992	43293
22	2078	43097
23	2145	42559
24	2223	42252
25	2305	42034
26	2386	41812
27	2467	41600
28	2548	41388
29	2631	41226
30	2718	41121
31	2795	40888
32	2868	40600
33	2951	40448
34	3029	40245
35	3109	40083
36	3179	39785
37	3261	39649
38	3353	39637
39	3440	39567
40	3524	39457
41	3613	39402
42	3702	39349
43	3792	39307
44	3862	39056
45	3908	38571
46	3992	38477
47	4071	38339
48	4171	38394
49	4259	38337
50	4345	38259
51	4424	38116
52	4453	37562
53	4536	37471
54	4617	37357
55	4699	37258
56	4773	37096
57	4925	37536
58	5013	37474
59	5098	37388
60	5176	37253
61	5274	37258
62	5347	37092
63	5436	37033
64	5564	37238
65	5589	36753
66	5665	36615
67	5747	36515
68	5848	36531
69	5950	36553
70	6056	36592
71	6156	36597
72	6251	36564
73	6344	36525
74	6450	36554
75	6626	36966
76	6786	37282
77	6856	37092
78	6959	37087
79	7057	37049
80	7122	36844
81	7227	36843
82	7334	36847
83	7440	36846
84	7538	36807
85	7639	36775
86	7725	36673
87	7807	36552
88	7895	36462
89	7980	36355
90	8043	36153
91	8122	36019
92	8213	35944
93	8253	35647
94	8330	35514
95	8412	35401
96	8468	35183
97	8553	35085
98	8616	34900
99	8711	34847
100	8807	34792
101	8837	34485
102	8914	34360
103	8997	34258
104	9138	34376
105	9233	34322
106	9305	34177
107	9378	34041
108	9467	33959
109	9548	33854
110	9629	33746
111	9712	33645
112	9804	33577
113	9902	33529
114	9995	33462
115	10084	33382
116	10173	33304
117	10272	33256
118	10363	33179
119	10445	33077
120	10538	33008
121	10631	32939
122	10717	32849
123	10786	32706
124	10879	32638
125	10971	32565
126	11057	32476
127	11136	32366
128	11220	32268
129	11310	32191
130	11398	32107
131	11478	32001
132	11593	31991
133	11675	31888
134	11749	31766
135	11823	31644
136	11911	31560
137	11989	31451
138	12081	31376
139	12176	31311
140	12273	31249
141	12350	31137
142	12430	31033
143	12518	30948
144	12599	30846
145	12687	30763
146	12803	30746
147	12920	30729
148	12999	30623
149	13087	30536
150	13149	30390
151	13233	30297
152	13320	30209
153	13431	30176
154	13520	30094
155	13609	30010
156	13686	29901
157	13778	29823
158	13876	29761
159	13970	29688
160	14047	29578
161	14121	29463
162	14210	29379
163	14281	29260
164	14355	29146
165	14455	29085
166	14548	29009
167	14631	28915
