iter	Logloss
0	0.6226756364
1	0.5708551889
2	0.5291054863
3	0.4978691625
4	0.4750070334
5	0.4544237676
6	0.4402653602
7	0.4267163593
8	0.4152938872
9	0.4074095462
10	0.3980594197
11	0.3911238923
12	0.3865009658
13	0.3817575437
14	0.3772037807
15	0.3734978717
16	0.3707680126
17	0.3683524109
18	0.3655513894
19	0.363305419
20	0.3614152458
21	0.3594765405
22	0.3577126684
23	0.3563918924
24	0.354787266
25	0.3533734892
26	0.3518899373
27	0.3502928475
28	0.3491490689
29	0.3475776267
30	0.3463463136
31	0.3454627575
32	0.3446714965
33	0.3440905412
34	0.343362168
35	0.3426227201
36	0.3424270873
37	0.3417161863
38	0.3409104984
39	0.3402290854
40	0.3392372685
41	0.3387410271
42	0.3381821382
43	0.3375136274
44	0.3368028137
45	0.336376429
46	0.3360284567
47	0.3356562115
48	0.3350718818
49	0.3343938987
50	0.3339730167
51	0.3336341725
52	0.3331776904
53	0.3327756067
54	0.3324644149
55	0.3322647133
56	0.3317633963
57	0.3314056045
58	0.3313606996
59	0.3309641304
60	0.3308975764
61	0.3304261335
62	0.3301804821
63	0.3299295474
64	0.329682951
65	0.3293534713
66	0.3291674162
67	0.3286862451
68	0.3283449814
69	0.3279362107
70	0.3276437589
71	0.3274766224
72	0.3272236683
73	0.327200678
74	0.3269641353
75	0.326586741
76	0.3265573715
77	0.3264522906
78	0.3263563576
79	0.3261251254
80	0.3259445837
81	0.3258152525
82	0.325535446
83	0.3255105031
84	0.3254014236
85	0.3252868038
86	0.3247998373
87	0.3247545783
88	0.3245368579
89	0.3243197758
90	0.3242444512
91	0.3239723666
92	0.3237826625
93	0.3236333556
94	0.3234036576
95	0.3232440868
96	0.3232141115
97	0.3229169528
98	0.3228689651
99	0.3226138315
100	0.3224216967
101	0.3219451712
102	0.3216792288
103	0.3214652186
104	0.3212625158
105	0.3211560444
106	0.3210984904
107	0.3210183854
108	0.3209064949
109	0.3206564034
110	0.3204194696
111	0.3200596307
112	0.3198968488
113	0.3195670637
114	0.3192755818
115	0.3188330732
116	0.318616747
117	0.3184482827
118	0.3180836197
119	0.3178233371
120	0.3176372516
121	0.3173955369
122	0.3171129415
123	0.3169127908
124	0.3167111287
125	0.3163697932
126	0.315579733
127	0.3153921619
128	0.3151875438
129	0.3149141276
130	0.3145699386
131	0.3143564208
132	0.313913144
133	0.3136940668
134	0.3133129259
135	0.3129757328
136	0.3126923654
137	0.3124668935
138	0.3122685768
139	0.3120835201
140	0.3118666636
141	0.3116642242
142	0.3114969244
143	0.3112551305
144	0.3109980717
145	0.3108073805
146	0.3104864357
147	0.3101965146
148	0.3096183655
149	0.3094616906
150	0.3093050115
151	0.3089798594
152	0.3086662906
153	0.3083956313
154	0.3081249334
155	0.3077671373
156	0.30764529
157	0.3074844693
158	0.3074296151
159	0.3073749687
160	0.3072902956
161	0.3070854484
162	0.3068006831
163	0.3066639026
164	0.3065084957
165	0.3063026495
166	0.3061686779
167	0.3058736776
168	0.3055604862
169	0.3052477816
170	0.3050143038
171	0.3048612506
172	0.3047339283
173	0.3046470373
174	0.3043816463
175	0.3040594546
176	0.3038614969
177	0.3037166068
178	0.3034067491
179	0.3032472264
180	0.3031728625
181	0.3029277697
182	0.3026649008
183	0.3024644993
184	0.3022945421
185	0.3021392512
186	0.302003353
187	0.3018130109
188	0.3015008016
189	0.3012748331
190	0.3012262358
191	0.3010686076
192	0.3008341563
193	0.3006385377
194	0.3005856932
