iter	Passed	Remaining
0	74	36935
1	156	38989
2	245	40633
3	323	40125
4	402	39863
5	483	39804
6	568	40073
7	649	39926
8	735	40113
9	817	40073
10	889	39526
11	988	40204
12	1088	40786
13	1167	40545
14	1232	39861
15	1301	39363
16	1367	38842
17	1436	38478
18	1516	38401
19	1593	38245
20	1706	38934
21	1803	39191
22	1896	39326
23	1960	38875
24	2018	38355
25	2089	38084
26	2157	37797
27	2234	37668
28	2299	37349
29	2375	37212
30	2449	37054
31	2516	36800
32	2583	36557
33	2644	36246
34	2714	36064
35	2794	36012
36	2837	35503
37	2906	35338
38	2984	35273
39	3048	35062
40	3169	35484
41	3244	35380
42	3312	35203
43	3383	35069
44	3450	34891
45	3521	34755
46	3583	34543
47	3659	34461
48	3740	34429
49	3830	34470
50	3927	34574
51	4015	34595
52	4104	34613
53	4175	34488
54	4248	34372
55	4324	34287
56	4400	34198
57	4472	34085
58	4502	33651
59	4591	33672
60	4657	33522
61	4734	33445
62	4803	33318
63	4877	33228
64	4959	33192
65	5047	33193
66	5113	33049
67	5189	32966
68	5268	32910
69	5333	32765
70	5397	32614
71	5467	32499
72	5535	32380
73	5560	32008
74	5641	31971
75	5706	31836
76	5732	31493
77	5807	31420
78	5879	31330
79	5949	31236
80	6041	31250
81	6118	31188
82	6193	31117
83	6240	30907
84	6314	30831
85	6396	30793
86	6489	30808
87	6522	30539
88	6587	30419
89	6663	30356
90	6738	30286
91	6846	30362
92	6940	30371
93	7042	30419
94	7116	30340
95	7191	30262
96	7248	30116
97	7321	30035
98	7366	29836
99	7441	29765
100	7529	29745
101	7618	29728
102	7699	29677
103	7771	29590
104	7847	29520
105	7920	29440
106	7956	29222
107	8025	29130
108	8094	29036
109	8169	28963
110	8247	28903
111	8323	28834
112	8400	28771
113	8485	28731
114	8561	28663
115	8639	28598
116	8711	28516
117	8791	28461
118	8887	28455
119	8964	28388
120	9045	28331
121	9129	28287
122	9198	28194
123	9272	28115
124	9340	28021
125	9406	27921
126	9486	27860
127	9557	27777
128	9633	27704
129	9716	27655
130	9797	27596
131	9882	27550
132	9970	27512
133	10051	27455
134	10132	27396
135	10216	27343
136	10300	27292
137	10364	27188
138	10432	27094
139	10513	27035
140	10612	27020
141	10705	26990
142	10777	26906
143	10852	26830
144	10918	26730
145	11023	26728
146	11102	26661
147	11212	26666
148	11324	26676
149	11414	26634
150	11502	26584
151	11594	26545
152	11690	26514
153	11830	26580
154	11964	26630
155	12075	26627
156	12152	26550
157	12230	26473
158	12314	26410
159	12404	26360
160	12498	26315
161	12592	26272
162	12691	26240
163	12781	26187
164	12872	26135
165	12969	26095
166	13051	26024
167	13132	25951
168	13215	25883
169	13329	25874
170	13420	25821
171	13506	25757
172	13594	25695
173	13684	25639
174	13787	25606
175	13882	25556
176	13964	25483
177	14042	25403
178	14115	25312
179	14201	25246
180	14291	25187
181	14375	25117
182	14458	25045
183	14588	25054
184	14671	24980
185	14778	24947
186	14874	24896
187	14968	24840
188	15085	24823
189	15178	24764
190	15292	24739
191	15415	24728
192	15538	24716
193	15635	24662
194	15723	24593
195	15823	24543
196	15897	24450
197	15973	24363
198	16048	24274
199	16151	24227
200	16226	24138
201	16308	24059
202	16392	23983
203	16463	23888
204	16551	23818
205	16650	23763
206	16746	23703
207	16828	23624
208	16915	23552
209	17016	23499
210	17102	23425
211	17189	23352
