iter	Passed	Remaining
400	27037	6540
401	27101	6471
402	27163	6403
403	27225	6334
404	27289	6266
405	27363	6200
406	27433	6133
407	27509	6068
408	27580	6001
409	27657	5936
410	27725	5868
411	27788	5800
412	27853	5732
413	27918	5664
414	27994	5598
415	28058	5530
416	28129	5464
417	28183	5394
418	28248	5326
419	28309	5257
420	28370	5188
421	28434	5120
422	28496	5052
423	28557	4984
424	28630	4917
425	28695	4849
426	28757	4781
427	28821	4713
428	28885	4645
429	28962	4580
430	29035	4513
431	29099	4445
432	29165	4378
433	29230	4310
434	29303	4243
435	29381	4178
436	29449	4110
437	29512	4042
438	29580	3975
439	29643	3907
440	29721	3841
441	29826	3778
442	29906	3713
443	30003	3649
444	30065	3580
445	30133	3513
446	30192	3444
447	30260	3377
448	30317	3308
449	30389	3241
450	30457	3174
451	30524	3106
452	30597	3039
453	30666	2972
454	30735	2904
455	30802	2837
456	30883	2770
457	30962	2704
458	31029	2636
459	31097	2568
460	31170	2501
461	31236	2434
462	31296	2365
463	31357	2297
464	31421	2229
465	31483	2161
466	31547	2094
467	31621	2027
468	31686	1959
469	31749	1891
470	31813	1823
471	31887	1756
472	31958	1689
473	32020	1621
474	32085	1553
475	32153	1486
476	32219	1418
477	32280	1350
478	32346	1283
479	32416	1215
480	32486	1148
481	32563	1080
482	32625	1013
483	32691	945
484	32764	878
485	32826	810
486	32890	742
487	32974	675
488	33049	608
489	33116	540
490	33193	473
491	33254	405
492	33313	337
493	33380	270
494	33445	202
495	33511	135
496	33571	67
497	33634	0
