iter	Passed	Remaining
0	99	49414
1	193	48165
2	260	43214
3	352	43763
4	427	42273
5	499	41159
6	613	43182
7	700	43100
8	776	42340
9	869	42594
10	959	42637
11	1022	41588
12	1109	41562
13	1186	41171
14	1267	40973
15	1342	40621
16	1430	40636
17	1503	40251
18	1588	40225
19	1667	40013
20	1783	40686
21	1870	40630
22	1947	40395
23	2029	40249
24	2112	40145
25	2187	39887
26	2266	39700
27	2362	39825
28	2452	39835
29	2541	39820
30	2623	39686
31	2720	39781
32	2795	39555
33	2895	39684
34	2980	39593
35	3073	39619
36	3169	39666
37	3244	39446
38	3338	39464
39	3422	39353
40	3505	39240
41	3586	39106
42	3660	38903
43	3730	38666
44	3814	38566
45	3900	38495
46	3996	38523
47	4083	38448
48	4171	38395
49	4261	38355
50	4343	38244
51	4426	38134
52	4522	38140
53	4606	38046
54	4678	37856
55	4763	37766
56	4865	37816
57	4946	37696
58	5025	37564
59	5145	37735
60	5233	37664
61	5329	37653
62	5413	37553
63	5456	37173
64	5532	37027
65	5603	36850
66	5701	36845
67	5778	36708
68	5823	36378
69	5907	36287
70	6001	36264
71	6077	36126
72	6167	36078
73	6240	35927
74	6318	35804
75	6398	35696
76	6483	35619
77	6569	35544
78	6641	35391
79	6728	35323
80	6809	35222
81	6893	35138
82	6980	35068
83	7072	35024
84	7160	34957
85	7258	34944
86	7343	34859
87	7441	34838
88	7525	34751
89	7593	34593
90	7659	34425
91	7723	34252
92	7820	34226
93	7900	34122
94	7981	34026
95	8065	33940
96	8157	33892
97	8242	33809
98	8319	33696
99	8397	33589
100	8448	33377
101	8548	33354
102	8625	33247
103	8715	33184
104	8794	33085
105	8882	33017
106	8964	32926
107	9044	32828
108	9120	32715
109	9216	32676
110	9296	32579
111	9374	32474
112	9459	32396
113	9548	32331
114	9632	32247
115	9722	32184
116	9798	32076
117	9875	31969
118	9973	31931
119	10064	31872
120	10138	31756
121	10247	31749
122	10325	31648
123	10415	31581
124	10494	31482
125	10595	31451
126	10681	31371
127	10777	31323
128	10861	31236
129	10938	31132
130	11017	31034
131	11106	30964
132	11206	30921
133	11309	30889
134	11397	30815
135	11475	30714
136	11562	30635
137	11636	30526
138	11719	30436
139	11800	30344
140	11892	30278
141	11977	30197
142	12062	30115
143	12170	30088
144	12264	30027
145	12346	29935
146	12436	29865
147	12532	29807
148	12624	29739
149	12715	29670
150	12811	29610
151	12901	29537
152	12984	29449
153	13053	29326
154	13145	29260
155	13222	29156
156	13309	29076
157	13384	28972
158	13459	28865
159	13538	28768
160	13618	28674
161	13697	28578
162	13774	28478
163	13865	28406
164	13953	28330
165	14033	28237
166	14120	28157
167	14208	28079
168	14300	28008
169	14377	27909
170	14458	27818
171	14531	27711
172	14605	27606
173	14701	27544
174	14789	27465
175	14871	27377
176	14952	27286
177	15045	27217
178	15127	27128
179	15205	27031
180	15291	26950
181	15389	26889
182	15517	26879
183	15604	26799
184	15685	26707
185	15785	26647
186	15883	26585
187	15964	26493
188	16055	26419
189	16127	26312
190	16221	26243
191	16309	26162
192	16455	26175
193	16554	26111
194	16632	26014
195	16734	25955
196	16832	25889
197	16916	25802
198	17003	25719
199	17096	25644
200	17190	25572
201	17295	25515
202	17396	25451
203	17511	25408
204	17600	25327
205	17705	25269
206	17809	25208
207	17905	25137
208	17988	25046
209	18080	24967
210	18173	24892
211	18250	24793
212	18331	24700
213	18423	24622
214	18511	24538
215	18590	24442
216	18679	24360
217	18757	24264
218	18845	24180
219	18969	24142
220	19055	24056
221	19150	23981
222	19241	23901
223	19343	23833
224	19432	23750
225	19510	23654
226	19595	23565
227	19692	23492
228	19781	23409
229	19860	23314
230	19938	23218
231	20021	23128
232	20095	23027
233	20172	22931
234	20257	22843
235	20335	22748
236	20434	22676
237	20522	22591
238	20606	22502
239	20700	22425
240	20791	22344
241	20882	22262
242	20965	22173
243	21048	22083
244	21129	21992
245	21226	21916
246	21299	21816
247	21376	21720
248	21455	21627
249	21531	21531
250	21609	21437
251	21694	21350
252	21770	21254
253	21847	21159
254	21928	21068
255	22003	20972
256	22069	20867
257	22146	20773
258	22234	20689
259	22311	20595
260	22392	20505
261	22467	20409
262	22541	20313
263	22611	20212
264	22681	20113
265	22755	20017
266	22840	19932
267	22917	19839
268	22995	19747
269	23068	19650
270	23145	19558
271	23214	19459
272	23290	19365
273	23365	19272
274	23440	19178
275	23514	19084
276	23598	18998
277	23665	18898
278	23739	18804
279	23820	18715
280	23896	18623
281	23965	18526
282	24041	18434
283	24116	18341
284	24179	18240
285	24264	18155
286	24338	18063
287	24422	17977
288	24500	17887
289	24573	17794
290	24648	17702
291	24725	17612
292	24806	17525
293	24880	17433
294	24960	17345
295	25033	17252
296	25108	17161
297	25187	17073
298	25266	16984
299	25339	16892
300	25429	16811
301	25496	16716
302	25574	16627
303	25664	16546
304	25735	16453
305	25811	16364
306	25882	16271
307	25951	16177
308	26044	16098
309	26114	16005
310	26183	15912
311	26264	15826
312	26332	15732
313	26409	15644
314	26480	15551
315	26554	15462
316	26639	15378
317	26723	15294
318	26799	15205
319	26884	15122
320	26967	15037
321	27043	14949
322	27117	14859
323	27195	14773
324	27272	14685
325	27361	14603
326	27439	14516
327	27527	14434
328	27587	14338
329	27667	14252
330	27736	14161
331	27812	14073
332	27882	13982
333	27958	13895
334	28028	13804
335	28113	13722
336	28197	13638
337	28275	13552
338	28349	13464
339	28413	13371
340	28488	13283
341	28559	13194
342	28635	13107
343	28716	13022
344	28791	12935
345	28859	12845
346	28940	12760
347	29012	12672
348	29094	12588
349	29169	12501
350	29242	12413
351	29314	12325
352	29388	12238
353	29460	12150
354	29532	12062
355	29614	11978
356	29704	11898
357	29774	11810
358	29852	11724
359	29922	11636
360	29995	11549
361	30070	11463
362	30152	11379
363	30216	11289
364	30291	11203
365	30379	11122
366	30453	11036
367	30538	10953
368	30621	10870
369	30696	10785
370	30770	10699
371	30846	10613
372	30919	10527
373	30990	10440
374	31065	10355
375	31139	10269
376	31219	10185
377	31292	10099
378	31394	10022
379	31480	9941
380	31575	9862
381	31660	9780
382	31737	9695
383	31820	9612
384	31902	9529
385	32002	9451
386	32088	9369
387	32152	9281
388	32226	9195
389	32302	9111
390	32396	9031
391	32461	8943
