iter	Logloss
0	0.6211032799
1	0.5686825925
2	0.5313926898
3	0.4997307927
4	0.4770762332
5	0.4554087463
6	0.4385822182
7	0.4251417905
8	0.4153002556
9	0.4068386048
10	0.3989972971
11	0.3928689265
12	0.3877195363
13	0.3829799673
14	0.3791299356
15	0.374677299
16	0.371327692
17	0.3683825874
18	0.3655811099
19	0.362952858
20	0.3606357855
21	0.359062111
22	0.3575180031
23	0.3557897774
24	0.3542904989
25	0.3530176284
26	0.3514649178
27	0.3504062878
28	0.3491079606
29	0.3479531564
30	0.346856965
31	0.3456283923
32	0.3451214775
33	0.3438855306
34	0.3430209438
35	0.3422970946
36	0.3415729984
37	0.3409147485
38	0.3400657247
39	0.3392415757
40	0.3386766722
41	0.3382017578
42	0.3376999824
43	0.3370819006
44	0.3366451097
45	0.33610964
46	0.335496833
47	0.3351364283
48	0.3347488515
49	0.3343350953
50	0.3339510745
51	0.3336552869
52	0.3332482118
53	0.3329824162
54	0.3327818126
55	0.3324734607
56	0.3321097896
57	0.3318471009
58	0.3314812991
59	0.3310581666
60	0.3308135342
61	0.3303843229
62	0.3299872361
63	0.3299678686
64	0.329567025
65	0.3291417394
66	0.3288154832
67	0.3283697645
68	0.3283453015
69	0.3280948902
70	0.3279485064
71	0.3276194325
72	0.3275023673
73	0.3273440012
74	0.3268303048
75	0.3266113833
76	0.3264026532
77	0.3262844793
78	0.3258476116
79	0.3257743867
80	0.3254656057
81	0.325264997
82	0.3251440246
83	0.3249891415
84	0.3247911017
85	0.3245618142
86	0.3242476996
87	0.3241331493
88	0.3239631827
89	0.3236769521
90	0.323350367
91	0.3230588275
92	0.3230304448
93	0.3226265063
94	0.3223128119
95	0.322013942
96	0.3219246238
97	0.3215280731
98	0.3212215696
99	0.3209770252
100	0.3209431485
101	0.3204490419
102	0.3201853814
103	0.3200634131
104	0.3198204305
105	0.3197466737
106	0.3195114689
107	0.3193918261
108	0.3192768945
109	0.3191272048
110	0.3188095419
111	0.3185323537
112	0.3183763764
113	0.3182195322
114	0.318117693
115	0.3177835743
116	0.3175885999
117	0.3173701454
118	0.3171192925
119	0.3167714407
120	0.3163982998
121	0.3156885114
122	0.3153415746
123	0.3150615738
124	0.3148423795
125	0.3147336434
126	0.3147041736
127	0.3144933897
128	0.3142881883
129	0.3140847507
130	0.3138122165
131	0.3137171351
132	0.3131508631
133	0.3127275142
134	0.3124547808
135	0.3121826994
136	0.3120565477
137	0.3118346744
138	0.3116069097
139	0.3112221669
140	0.3109881508
141	0.3107640795
142	0.3105677714
143	0.3103993542
144	0.3102545611
145	0.3100343428
146	0.309558417
147	0.3090914476
148	0.3087873056
149	0.3085925525
150	0.3083061278
151	0.3082045742
152	0.3080477585
153	0.3077042373
154	0.3074796794
155	0.3073354886
156	0.307137867
157	0.3070214214
158	0.3067862916
159	0.3065630314
160	0.3064712058
161	0.3062662937
162	0.3060739556
163	0.3059846431
164	0.3057604399
165	0.305612221
166	0.3053850889
167	0.3052646891
168	0.3050861911
169	0.3048514644
170	0.3046682247
171	0.3045196589
172	0.3043325782
173	0.3041785374
174	0.3038675634
175	0.3038456927
176	0.3037187693
177	0.3035629254
178	0.3034036627
179	0.3032593645
180	0.3030788978
181	0.303030661
182	0.3026273038
183	0.3024641256
184	0.302247452
185	0.3021533573
186	0.3019121709
187	0.3016586617
188	0.3014716814
189	0.3012048869
190	0.3011710743
191	0.3010527462
192	0.3007258531
193	0.300563581
194	0.3003673438
195	0.300121847
196	0.3000219536
197	0.2999197282
198	0.2997938461
199	0.2995708425
200	0.2994451972
201	0.299344698
202	0.2991417875
203	0.2989606485
204	0.2989190047
205	0.2987659324
206	0.298515237
207	0.29829573
208	0.2980863268
209	0.29798315
210	0.2978993957
211	0.2978298146
212	0.2976099737
213	0.2975415011
214	0.2974633588
215	0.2972354278
216	0.297176238
217	0.297129201
218	0.2969699844
219	0.2968122246
220	0.296692713
221	0.2963276296
222	0.296245535
223	0.2961505591
224	0.2960606962
225	0.2960263757
226	0.2959842592
