iter	Passed	Remaining
0	64	32424
1	130	32502
2	203	33669
3	292	36264
4	356	35334
5	426	35087
6	491	34622
7	550	33884
8	626	34163
9	698	34210
10	765	34018
11	829	33747
12	896	33598
13	972	33763
14	1048	33886
15	1092	33059
16	1161	32998
17	1211	32447
18	1282	32464
19	1364	32756
20	1440	32864
21	1511	32846
22	1578	32738
23	1650	32731
24	1713	32548
25	1780	32458
26	1843	32293
27	1914	32276
28	1992	32355
29	2059	32269
30	2124	32149
31	2195	32110
32	2275	32201
33	2352	32237
34	2412	32048
35	2494	32145
36	2575	32222
37	2653	32254
38	2716	32113
39	2793	32120
40	2868	32118
41	2943	32102
42	3014	32035
43	3084	31965
44	3158	31937
45	3248	32061
46	3336	32160
47	3423	32242
48	3488	32106
49	3570	32135
50	3626	31924
51	3677	31687
52	3744	31583
53	3816	31521
54	3885	31436
55	3951	31326
56	4022	31258
57	4089	31163
58	4162	31115
59	4236	31071
60	4307	30999
61	4376	30921
62	4449	30866
63	4522	30807
64	4595	30753
65	4671	30719
66	4741	30643
67	4819	30620
68	4890	30545
69	4969	30528
70	5028	30385
71	5094	30282
72	5163	30205
73	5236	30144
74	5317	30132
75	5383	30033
76	5449	29937
77	5528	29912
78	5600	29844
79	5668	29757
80	5752	29756
81	5827	29707
82	5869	29489
83	5941	29425
84	6014	29363
85	6078	29262
86	6152	29207
87	6233	29184
88	6314	29159
89	6390	29110
90	6459	29032
91	6528	28954
92	6595	28863
93	6636	28663
94	6711	28611
95	6737	28353
96	6813	28309
97	6880	28224
98	6945	28132
99	7021	28084
100	7092	28020
101	7165	27959
102	7240	27908
103	7316	27857
104	7389	27797
105	7432	27627
106	7505	27567
107	7576	27500
108	7651	27446
109	7698	27294
110	7891	27657
111	8000	27715
112	8081	27679
113	8165	27647
114	8247	27610
115	8328	27569
116	8402	27507
117	8481	27455
118	8552	27381
119	8631	27332
120	8714	27297
121	8799	27263
122	8876	27206
123	8956	27158
124	9026	27080
125	9104	27025
126	9169	26931
127	9209	26765
128	9280	26690
129	9347	26603
130	9416	26523
131	9479	26427
132	9563	26388
133	9642	26337
134	9706	26244
135	9796	26220
136	9872	26158
137	9979	26178
138	10059	26124
139	10135	26062
140	10215	26008
141	10294	25952
142	10357	25858
143	10433	25793
144	10511	25734
145	10600	25701
146	10675	25635
147	10742	25549
148	10813	25472
149	10888	25406
150	10966	25346
151	11054	25309
152	11136	25257
153	11221	25211
154	11291	25132
155	11360	25052
156	11431	24973
157	11519	24933
158	11587	24851
159	11693	24847
160	11773	24790
161	11857	24738
162	11937	24681
163	12014	24615
164	12094	24555
165	12172	24492
166	12251	24429
167	12337	24380
168	12420	24326
169	12509	24283
170	12584	24211
171	12650	24123
172	12725	24052
173	12801	23984
174	12872	23906
175	12934	23811
176	13010	23742
177	13085	23670
178	13163	23606
179	13240	23538
180	13316	23469
181	13389	23395
182	13459	23314
183	13532	23240
184	13594	23148
185	13663	23066
186	13728	22978
187	13805	22910
188	13869	22822
189	13945	22753
190	14034	22705
191	14105	22627
192	14182	22559
193	14260	22492
194	14330	22415
195	14405	22342
196	14479	22270
197	14556	22202
198	14629	22127
199	14705	22058
200	14778	21983
201	14848	21905
202	14923	21833
203	14998	21762
204	15077	21696
205	15145	21615
206	15288	21640
207	15416	21641
208	15491	21570
209	15562	21491
210	15629	21407
211	15707	21338
212	15776	21257
213	15856	21191
214	15932	21120
215	16004	21042
216	16076	20966
217	16156	20900
218	16269	20874
219	16355	20816
220	16431	20743
221	16503	20666
222	16575	20588
223	16646	20511
224	16718	20433
225	16797	20365
226	16868	20287
227	16943	20213
228	17009	20129
229	17087	20059
230	17168	19992
231	17248	19924
232	17318	19845
233	17389	19767
234	17471	19701
235	17543	19624
236	17614	19546
237	17690	19474
238	17758	19392
239	17829	19314
240	17913	19251
241	17992	19182
242	18070	19111
243	18141	19033
244	18241	18985
245	18317	18912
246	18389	18836
247	18462	18760
248	18546	18695
249	18621	18621
250	18705	18556
251	18782	18484
252	18848	18401
253	18917	18321
254	18994	18250
255	19071	18177
256	19154	18110
257	19229	18037
258	19308	17967
259	19391	17899
260	19464	17823
261	19534	17745
262	19609	17671
263	19682	17594
264	19762	17525
265	19834	17448
266	19916	17380
267	19992	17306
268	20080	17243
269	20154	17168
270	20234	17098
271	20315	17029
272	20385	16950
273	20454	16871
274	20535	16801
275	20605	16723
276	20680	16648
277	20768	16585
278	20845	16511
279	20916	16434
280	20983	16353
281	21060	16280
282	21135	16206
283	21213	16134
284	21286	16058
285	21353	15977
286	21426	15901
287	21507	15831
288	21587	15761
289	21659	15684
290	21722	15601
291	21795	15525
292	21872	15452
293	21943	15375
294	22015	15298
295	22090	15224
296	22188	15166
297	22275	15099
298	22352	15026
299	22429	14952
300	22500	14875
301	22580	14804
302	22656	14730
303	22733	14657
304	22800	14577
305	22875	14502
306	22947	14426
307	23029	14356
308	23103	14280
309	23178	14206
310	23239	14122
311	23308	14044
312	23388	13973
313	23464	13899
314	23531	13819
315	23601	13742
316	23678	13669
317	23750	13592
318	23824	13517
319	23904	13446
320	23970	13366
321	24047	13293
322	24125	13220
323	24206	13149
324	24290	13079
325	24359	13001
326	24431	12925
327	24506	12850
328	24587	12779
329	24657	12702
330	24736	12629
331	24810	12554
332	24887	12481
333	24962	12406
334	25033	12329
335	25112	12257
336	25197	12187
337	25284	12118
338	25367	12047
339	25447	11975
340	25512	11895
341	25601	11827
342	25669	11749
343	25748	11676
344	25824	11602
345	25895	11525
346	25972	11451
347	26041	11374
348	26119	11300
349	26198	11227
350	26264	11149
351	26345	11077
352	26417	11000
353	26487	10924
354	26568	10851
355	26636	10774
356	26717	10701
357	26794	10627
358	26874	10555
359	26952	10481
360	27035	10409
361	27101	10331
362	27182	10258
363	27262	10186
364	27342	10113
365	27413	10036
366	27491	9962
367	27570	9889
368	27656	9818
369	27723	9740
370	27815	9671
